papel,tipo,empresa,setor,sub_setor,valor_de_mercado,valor_da_firma,ultimo_balanco,numero_de_acoes,ultima_cotacao,pl,p_vp,psr,div_yeld,p_ativo,p_cap_giro,p_ebit,p_ativo_circ_liq,ev_ebit,ev_ebitda,mrg_ebit,mrg_liq,liq_corr,roic,roe,liq_2_meses,patrim_liq,div_brut_patrim,cresc_rec_5a
VSPT4,PN,FERROVIA CENTRO-ATLÂNTICA S.A. PN,Transporte,Transporte Ferroviário,0,-,30/06/2020,125.446.000,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-2,62%","0,00","4.736.050.000,00","0,00","438,95%"
VSPT3,ON,FERROVIA CENTRO-ATLÂNTICA S.A. ON,Transporte,Transporte Ferroviário,0,-,30/06/2020,125.446.000,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-2,62%","0,00","4.736.050.000,00","0,00","438,95%"
VNET3,ON NM,CIELO ON NM,Serviços Financeiros Diversos,Serviços Financeiros Diversos,0,-,30/06/2020,2.716.820.000,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","7,61%","0,00","9.145.920.000,00","0,00","-5,18%"
CFLU4,PN,COCA COLA PN,,,0,-,30/09/2005,0,"1.000,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","8,88%","10,72%","1,10","17,68%","32,15%","0,00","60.351.000,00","0,06","8,14%"
CLAN3,ON,CLARION ON,Alimentos,Grãos e Derivados,0,-,31/12/2012,158.703.000,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-1,05%","0,00","1.012.240.000,00","0,00","-63,96%"
CLSC6,PNB N2,CELESC PNB N2,Energia Elétrica,Energia Elétrica,0,-,30/06/2020,38.572.000,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","22,90%","0,00","1.611.840.000,00","0,00","7,54%"
CSTB3,ON,COMPANHIA SIDERÚRGICA DE TUBARÃO ON,,,0,-,30/09/2005,0,"150,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","40,85%","28,98%","2,60","22,40%","20,11%","0,00","8.420.670.000,00","0,14","31,91%"
CSTB4,PN,COMPANHIA SIDERÚRGICA DE TUBARÃO PN,,,0,-,30/09/2005,0,"147,69","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","40,85%","28,98%","2,60","22,40%","20,11%","0,00","8.420.670.000,00","0,14","31,91%"
IVTT3,ON NM,BHG ON NM,Exploração de Imóveis,Exploração de Imóveis,0,-,31/03/2015,62.141.400,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-0,40%","0,00","1.083.050.000,00","0,00","20,67%"
MNSA3,ON,MANASA ON,,,0,-,31/12/2005,0,"0,42","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","-208,15%","-362,66%","3,63","-13,50%","145,70%","0,00","-9.105.000,00","-6,52","-41,11%"
MNSA4,PN,MANASA PN,,,0,-,31/12/2005,0,"0,47","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","-208,15%","-362,66%","3,63","-13,50%","145,70%","0,00","-9.105.000,00","-6,52","-41,11%"
ODER3,ON,CONSERVAS ODERICH SA ON,,,0,-,30/06/2020,11.287.000,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","17,07%","0,00","220.989.000,00","0,00","5,60%"
